sepal_length,sepal_width,petal_length,petal_width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
7.698685661204493,3.0972251908184383,5.792314628974793,2.350098570069175,lilacina
7.444694279531526,2.884475315875105,6.28967733861732,2.369289641899395,lilacina
7.759075415240277,2.7969233999082124,6.328642741736616,2.1639950556843015,lilacina
8.10921194256321,3.1835028866522603,6.09886136538919,2.3464507394322007,lilacina
7.406338650110666,3.3092998567487855,6.419357144166995,2.358614494659736,lilacina
7.406345217220328,3.2793840357348594,6.70202542840727,2.157129716394726,lilacina
8.131685126202957,2.7482347430332084,7.443092950605265,2.6731549022289514,lilacina
7.806973891661164,2.907236287244636,6.587288906415919,2.3947665841823573,lilacina
7.312210245626019,3.099379029421069,6.628775195361382,2.06173930055947,lilacina
7.717024017434386,3.2926635381367078,6.462777042116916,2.4313107217267658,lilacina
7.314632922875015,2.856247728646413,5.540614392350479,2.1050636659545354,lilacina
7.313708098571897,2.944302307000855,6.486743062275392,2.45741692074849,lilacina
7.596784908626414,2.6680995077981917,6.5301151049705135,2.5317191158014807,lilacina
6.734687902136881,2.641138012775799,7.731621056242643,2.1358635363296576,lilacina
6.810032866994787,3.2437577467182592,6.403819517609438,2.4926752258488643,lilacina
7.275084988303611,3.4068720085712467,6.650773671166807,2.3825561853872994,lilacina
7.094867551866231,2.9783969635259,6.482644115147378,2.464412031998898,lilacina
7.62569893303811,3.301059869367607,5.915660981190234,2.6793585965307893,lilacina
7.136790369791516,3.1084908075142903,7.071411407257511,2.2509223767994255,lilacina
6.9350785194658835,2.8064640736184625,6.875966516343387,2.1492527671285018,lilacina
8.086259507568622,3.108418681652524,6.8955159735215235,2.122097114074895,lilacina
7.409689479805386,3.4614109699397906,6.04530627260263,2.136837943006912,lilacina
7.527011281875169,2.9892521882670144,7.201397155468049,2.284579658117179,lilacina
6.930100725514618,3.4693930967442017,5.79907446860386,2.3682303949633288,lilacina
7.282246910189927,2.2140764687730767,6.793428546900135,2.3553381598660037,lilacina
7.544369035883946,3.246570751312567,7.595227812904989,2.4654366498072045,lilacina
7.039602569031079,3.0261141204714512,6.004731837434655,2.302600378375581,lilacina
7.650279207338269,2.9102977948602398,6.216851135198614,2.590706815431463,lilacina
7.259744524032478,3.0275282329606505,6.549825682543821,2.247068633352409,lilacina
7.38332250008269,2.4037293256197323,6.2482621729419,2.8440338333179236,lilacina
7.259317355108241,2.9340984336487463,5.724668284466934,2.425133469553001,lilacina
8.240911273803576,3.107133771453524,6.534281487403014,2.128568488716743,lilacina
7.494601110104826,3.443368213422455,5.968848143136947,2.0858215003877776,lilacina
7.07691562841764,2.8445189345179056,6.73679621531759,2.3964944830486368,lilacina
7.829017964841276,2.757451919132044,6.040287882883098,2.2553074429348294,lilacina
7.011662540011591,2.849472886924639,7.27496720250877,2.4428000988184184,lilacina
7.583545438001902,3.2746206353106224,6.108373353831881,2.394647524914709,lilacina
6.71613195044809,3.0986253328979054,6.338969241897162,2.2854342174686253,lilacina
6.968725580440628,2.8410719388698884,6.906758608684835,2.1306412563863186,lilacina
7.578744494347649,3.1539802299340067,5.8845678417830225,1.997030555062827,lilacina
7.795386631998165,3.029123264804412,6.613729967302064,2.2106970095865957,lilacina
7.568547312475988,3.290593497159867,7.153571377141214,2.471279758864694,lilacina
7.453740687044704,2.7893840718367944,5.696258382719386,2.3428187488260406,lilacina
7.3795585217642845,2.9017013560206695,6.592316929266152,2.050852244257602,lilacina
6.908591203853029,2.8823675540603526,6.629941397124211,2.334636185170236,lilacina
7.2120623166421165,2.5609455155603644,6.890911435888655,2.3770634759457674,lilacina
7.315744491616085,3.088836083119373,5.881524644560959,2.1232285127597734,lilacina
7.9228488904875665,3.078316581653967,5.839771693457862,2.3307450211891054,lilacina
7.637447315827385,3.001534036992738,6.760970782808449,2.3116417436892,lilacina
6.794783937854906,2.929623859987456,6.648492336616593,2.071405940433875,lilacina
